word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
affection,0,0,0,0,1,0,1,0,0,1
affiliated,0,0,0,0,0,0,1,0,0,0
affirm,0,0,0,0,0,0,1,0,0,1
affirmation,0,0,0,0,0,0,1,0,0,0
affirmative,0,0,0,0,0,0,1,0,0,0
affirmatively,0,0,0,0,0,0,1,0,0,1
afflict,0,0,0,1,0,1,0,1,0,0
afflicted,0,0,0,0,0,1,0,0,0,0
affliction,0,0,1,1,0,1,0,1,0,0
affluence,0,0,0,0,1,0,1,0,0,0
affluent,0,0,0,0,0,0,1,0,0,0
afford,0,0,0,0,0,0,1,0,0,0
affront,1,0,1,1,0,1,0,1,1,0
afraid,0,0,0,1,0,1,0,0,0,0
aftermath,1,0,1,1,0,1,0,1,0,0
aftertaste,0,0,0,0,0,1,0,0,0,0
aga,0,0,0,1,0,0,1,0,0,1
aggravated,1,0,0,0,0,1,0,0,0,0
aggravating,1,0,0,0,0,1,0,1,0,0
aggravation,1,0,1,0,0,1,0,0,0,0
aggression,1,0,0,1,0,1,0,0,0,0
aggressive,1,0,0,1,0,1,0,0,0,0
aggressor,1,0,0,1,0,1,0,0,0,0
aghast,0,0,1,1,0,1,0,0,1,0
agile,0,0,0,0,0,0,1,0,0,0
agility,0,0,0,0,0,0,1,0,0,0
agitated,1,0,0,0,0,1,0,0,0,0
agitation,1,0,0,0,0,1,0,0,0,0
agonizing,0,0,0,1,0,1,0,0,0,0
agony,1,0,0,1,0,1,0,1,0,0
agree,0,0,0,0,0,0,1,0,0,0
agreeable,0,0,0,0,0,0,1,0,0,1
agreed,0,0,0,0,0,0,1,0,0,1
agreeing,0,0,0,0,0,0,1,0,0,1
agreement,0,0,0,0,0,0,1,0,0,1
agriculture,0,0,0,0,0,0,1,0,0,0
aground,0,0,0,0,0,1,0,0,0,0
ahead,0,0,0,0,0,0,1,0,0,0
aid,0,0,0,0,0,0,1,0,0,0
aiding,0,0,0,0,0,0,1,0,0,0
ail,0,0,0,0,0,1,0,1,0,0
ailing,0,0,0,1,0,1,0,1,0,0
aimless,0,0,0,0,0,1,0,0,0,0
airport,0,1,0,0,0,0,0,0,0,0
airs,0,0,1,0,0,1,0,0,0,0
akin,0,0,0,0,0,0,0,0,0,1
alabaster,0,0,0,0,0,0,1,0,0,0
alarm,0,0,0,1,0,1,0,0,1,0
alarming,0,0,0,1,0,1,0,0,1,0
alb,0,0,0,0,0,0,0,0,0,1
alcoholism,1,0,1,1,0,1,0,1,0,0
alertness,0,1,0,1,0,0,1,0,1,0
alerts,0,1,0,1,0,0,0,0,1,0
alien,0,0,1,1,0,1,0,0,0,0
alienate,1,0,1,0,0,1,0,0,0,0
alienated,0,0,0,0,0,1,0,1,0,0
alienation,1,0,1,1,0,1,0,1,0,0
alimentation,0,0,0,0,0,0,1,0,0,0
alimony,0,0,0,0,0,1,0,0,0,0
alive,0,1,0,0,1,0,1,0,0,1
allay,0,0,0,0,0,0,1,0,0,0
allegation,1,0,0,0,0,1,0,0,0,0
allege,0,0,0,0,0,1,0,0,0,0
allegiance,0,0,0,0,0,0,1,0,0,1
allegro,0,0,0,0,0,0,1,0,0,0
alleviate,0,0,0,0,0,0,1,0,0,0
alleviation,0,0,0,0,0,0,1,0,0,0
alliance,0,0,0,0,0,0,0,0,0,1
allied,0,0,0,0,0,0,1,0,0,1
allowable,0,0,0,0,0,0,1,0,0,0
allure,0,1,0,0,1,0,1,0,1,0
alluring,0,0,0,0,0,0,1,0,0,0
ally,0,0,0,0,0,0,1,0,0,1
almighty,0,0,0,0,0,0,1,0,0,0
aloha,0,1,0,0,1,0,1,0,0,0
aloof,0,0,0,0,0,1,0,0,0,0
altercation,1,0,0,0,0,1,0,0,0,0
amaze,0,0,0,0,0,0,0,0,1,0
amazingly,0,0,0,0,1,0,1,0,1,0
ambassador,0,0,0,0,0,0,1,0,0,1
ambiguous,0,0,0,0,0,1,0,0,0,0
ambition,0,1,0,0,1,0,1,0,0,1
ambulance,0,0,0,1,0,0,0,0,0,1
ambush,1,0,0,1,0,1,0,0,1,0
ameliorate,0,0,0,0,0,0,1,0,0,0
amen,0,0,0,0,1,0,1,0,0,1
amenable,0,0,0,0,0,0,1,0,0,0
amend,0,0,0,0,0,0,1,0,0,0
amends,0,0,0,0,0,0,1,0,0,0
amenity,0,0,0,0,0,0,1,0,0,0
amiable,0,0,0,0,0,0,1,0,0,0
amicable,0,0,0,0,1,0,1,0,0,0
ammonia,0,0,1,0,0,0,0,0,0,0
amnesia,0,0,0,0,0,1,0,0,0,0
amnesty,0,0,0,0,1,0,1,0,0,0
amortization,0,0,0,0,0,0,0,0,0,1
amour,0,1,0,0,1,0,1,0,0,1
amphetamines,0,0,1,0,0,1,0,0,0,0
amuse,0,0,0,0,1,0,1,0,0,0
amused,0,0,0,0,1,0,1,0,0,0
amusement,0,0,0,0,1,0,1,0,0,0
amusing,0,0,0,0,1,0,1,0,0,0
anaconda,0,0,1,1,0,1,0,0,0,0
anal,0,0,0,0,0,1,0,0,0,0
analyst,0,1,0,0,0,0,1,0,0,1
anarchism,1,0,0,1,0,1,0,0,0,0
anarchist,1,0,0,1,0,1,0,0,0,0
anarchy,1,0,0,1,0,1,0,0,0,0
anathema,1,0,1,1,0,1,0,1,0,0
ancestral,0,0,0,0,0,0,0,0,0,1
anchor,0,0,0,0,0,0,1,0,0,0
anchorage,0,0,0,0,0,0,1,1,0,0
ancient,0,0,0,0,0,1,0,0,0,0
angel,0,1,0,0,1,0,1,0,1,1
angelic,0,0,0,0,1,0,1,0,0,1
anger,1,0,0,0,0,1,0,0,0,0
angina,0,0,0,1,0,1,0,0,0,0
angling,0,1,0,0,0,1,0,0,0,0
angry,1,0,1,0,0,1,0,0,0,0
anguish,1,0,0,1,0,1,0,1,0,0
animate,0,0,0,0,0,0,1,0,0,0
animated,0,0,0,0,1,0,1,0,0,0
animosity,1,0,1,1,0,1,0,1,0,0
animus,1,0,0,0,0,1,0,0,0,0
annihilate,1,0,0,1,0,1,0,0,0,0
annihilated,1,0,0,1,0,1,0,1,0,0
annihilation,1,0,0,1,0,1,0,1,0,0
announcement,0,1,0,0,0,0,0,0,0,0
annoy,1,0,1,0,0,1,0,0,0,0
annoyance,1,0,1,0,0,1,0,0,0,0
annoying,1,0,0,0,0,1,0,0,0,0
annul,0,0,0,0,0,1,0,0,0,0
annulment,0,0,0,0,0,1,0,1,0,0
anomaly,0,0,0,1,0,1,0,0,1,0
anonymous,0,0,0,0,0,1,0,0,0,0
answerable,0,0,0,0,0,0,0,0,0,1
antagonism,1,0,0,0,0,1,0,0,0,0
antagonist,1,0,0,0,0,1,0,0,0,0
antagonistic,1,0,1,0,0,1,0,0,0,0
anthrax,0,0,1,1,0,1,0,1,0,0
antibiotics,0,0,0,0,0,0,1,0,0,0
antichrist,1,0,1,1,0,1,0,0,0,0
anticipation,0,1,0,0,0,0,0,0,0,0
anticipatory,0,1,0,0,0,0,0,0,0,0
antidote,0,1,0,0,0,0,1,0,0,1
antifungal,0,0,0,0,0,0,1,0,0,1
antipathy,1,0,1,0,0,1,0,0,0,0
antiquated,0,0,0,0,0,1,0,0,0,0
antique,0,0,0,0,0,0,1,0,0,0
antiseptic,0,0,0,0,0,0,1,0,0,1
antisocial,1,0,1,1,0,1,0,1,0,0
antithesis,1,0,0,0,0,1,0,0,0,0
anxiety,1,1,0,1,0,1,0,1,0,0
anxious,0,1,0,1,0,1,0,0,0,0
apache,0,0,0,1,0,1,0,0,0,0
apathetic,0,0,0,0,0,1,0,1,0,0
apathy,0,0,0,0,0,1,0,1,0,0
aphid,0,0,1,0,0,1,0,0,0,0
aplomb,0,0,0,0,0,0,1,0,0,0
apologetic,0,0,0,0,0,0,1,0,0,1
apologize,0,0,0,0,0,0,1,1,0,1
apology,0,0,0,0,0,0,1,0,0,0
apostle,0,0,0,0,0,0,1,0,0,1
apostolic,0,0,0,0,0,0,0,0,0,1
appalling,0,0,1,1,0,1,0,0,0,0
apparition,0,0,0,1,0,0,0,0,1,0
appeal,0,1,0,0,0,0,0,0,0,0
appendicitis,0,0,0,1,0,1,0,1,0,0
applause,0,0,0,0,1,0,1,0,1,1
applicant,0,1,0,0,0,0,0,0,0,0
appreciation,0,0,0,0,1,0,1,0,0,1
apprehend,0,0,0,1,0,0,0,0,0,0
apprehension,0,0,0,1,0,1,0,0,0,0
apprehensive,0,1,0,1,0,1,0,0,0,0
apprentice,0,0,0,0,0,0,0,0,0,1
approaching,0,1,0,0,0,0,0,0,0,0
approbation,0,0,0,0,0,0,1,0,0,1
appropriation,0,0,0,0,0,1,0,0,0,0
approval,0,0,0,0,0,0,1,0,0,0
approve,0,0,0,0,1,0,1,0,0,1
approving,0,0,0,0,0,0,1,0,0,0
apt,0,0,0,0,0,0,1,0,0,0
aptitude,0,0,0,0,0,0,1,0,0,0
arbiter,0,0,0,0,0,0,0,0,0,1
arbitration,0,1,0,0,0,0,0,0,0,0
arbitrator,0,0,0,0,0,0,0,0,0,1
archaeology,0,1,0,0,0,0,1,0,0,0
archaic,0,0,0,0,0,1,0,0,0,0
architecture,0,0,0,0,0,0,0,0,0,1
ardent,0,1,0,0,1,0,1,0,0,0
ardor,0,0,0,0,0,0,1,0,0,0
arduous,0,0,0,0,0,1,0,0,0,0
argue,1,0,0,0,0,1,0,0,0,0
argument,1,0,0,0,0,1,0,0,0,0
argumentation,1,0,0,0,0,0,0,0,0,0
argumentative,0,0,0,0,0,1,0,0,0,0
arguments,1,0,0,0,0,0,0,0,0,0
arid,0,0,0,0,0,1,0,1,0,0
aristocracy,0,0,0,0,0,0,1,0,0,0
aristocratic,0,0,0,0,0,0,1,0,0,0
armament,1,0,0,1,0,0,0,0,0,0
armaments,0,0,0,1,0,1,0,0,0,0
armed,1,0,0,1,0,1,1,0,0,0
armor,0,0,0,1,0,0,1,0,0,1
armored,0,0,0,1,0,0,0,0,0,0
armory,0,0,0,0,0,0,0,0,0,1
aroma,0,0,0,0,0,0,1,0,0,0
arouse,0,1,0,0,0,0,1,0,0,0
arraignment,1,0,0,1,0,1,0,1,0,0
array,0,0,0,0,0,0,1,0,0,0
arrears,0,0,0,0,0,1,0,0,0,0
arrest,0,0,0,0,0,1,0,0,0,0
arrival,0,1,0,0,0,0,0,0,0,0
arrive,0,1,0,0,0,0,0,0,0,0
arrogance,0,0,0,0,0,1,0,0,0,0
arrogant,1,0,1,0,0,1,0,0,0,0
arsenic,0,0,1,1,0,1,0,1,0,0
arson,1,0,0,1,0,1,0,0,0,0
art,0,1,0,0,1,0,1,1,1,0
articulate,0,0,0,0,0,0,1,0,0,0
articulation,0,0,0,0,0,0,1,0,0,0
artillery,0,0,0,1,0,1,0,0,0,0
artisan,0,0,0,0,0,0,1,0,0,0
artiste,0,0,0,0,0,0,1,0,0,0
artistic,0,0,0,0,0,0,1,0,0,0
ascendancy,0,0,0,0,0,0,1,0,0,0
ascent,0,0,0,0,0,0,1,0,0,0
ash,0,0,0,0,0,1,0,0,0,0
ashamed,0,0,1,0,0,1,0,1,0,0
ashes,0,0,0,0,0,1,0,1,0,0
asp,0,0,0,1,0,0,0,0,0,0
aspiration,0,1,0,0,1,0,1,0,1,1
aspire,0,1,0,0,1,0,1,0,0,0
aspiring,0,1,0,0,1,0,1,0,0,1
ass,0,0,0,0,0,1,0,0,0,0
assail,1,0,0,1,0,1,0,0,1,0
assailant,1,0,0,1,0,1,0,1,0,0
assassin,1,0,0,1,0,1,0,1,0,0
assassinate,1,0,0,1,0,1,0,0,0,0
assassination,1,0,0,1,0,1,0,1,0,0
assault,1,0,0,1,0,1,0,0,0,0
assembly,0,0,0,0,0,0,1,0,0,1
assent,0,0,0,0,0,0,1,0,0,0
asserting,0,0,0,0,0,0,1,0,0,1
assessment,0,0,0,0,0,0,0,0,1,1
assessor,0,0,0,0,0,0,0,0,0,1
assets,0,0,0,0,0,0,1,0,0,0
asshole,1,0,1,0,0,1,0,0,0,0
assignee,0,0,0,0,0,0,0,0,0,1
assist,0,0,0,0,0,0,1,0,0,1
assistance,0,0,0,0,0,0,1,0,0,0
associate,0,0,0,0,0,0,1,0,0,1
association,0,0,0,0,0,0,0,0,0,1
assuage,0,0,0,0,0,0,1,0,0,0
assurance,0,0,0,0,0,0,1,0,0,1
assure,0,0,0,0,0,0,0,0,0,1
assured,0,0,0,0,0,0,1,0,0,1
assuredly,0,0,0,0,0,0,0,0,0,1
astonishingly,0,0,0,0,0,0,1,0,1,0
astonishment,0,0,0,0,1,0,1,0,1,0
astray,0,0,0,1,0,1,0,0,0,0
astringent,0,0,0,0,0,1,0,0,0,0
astrologer,0,1,0,0,0,0,1,0,0,0
astronaut,0,0,0,0,0,0,1,0,0,0
astronomer,0,1,0,0,0,0,1,0,0,0
astute,0,0,0,0,0,0,1,0,0,0
asylum,0,0,0,1,0,1,0,0,0,0
asymmetry,0,0,1,0,0,0,0,0,0,0
atheism,0,0,0,0,0,1,0,0,0,0
atherosclerosis,0,0,0,1,0,1,0,1,0,0
athlete,0,0,0,0,0,0,1,0,0,0
athletic,0,0,0,0,0,0,1,0,0,0
atom,0,0,0,0,0,0,1,0,0,0
atone,0,1,0,0,1,0,1,0,0,1
atonement,0,0,0,0,0,0,1,0,0,0
atrocious,1,0,1,0,0,1,0,0,0,0
atrocity,1,0,1,1,0,1,0,1,0,0
atrophy,0,0,1,1,0,1,0,1,0,0
attachment,0,0,0,0,0,0,1,0,0,0
attack,1,0,0,1,0,1,0,0,0,0
attacking,1,0,1,1,0,1,0,1,1,0
attainable,0,1,0,0,0,0,1,0,0,0
attainment,0,0,0,0,0,0,1,0,0,0
attempt,0,1,0,0,0,0,0,0,0,0
attendance,0,1,0,0,0,0,0,0,0,0
attendant,0,0,0,0,0,0,1,0,0,1
attention,0,0,0,0,0,0,1,0,0,0
attentive,0,0,0,0,0,0,1,0,0,1
attenuated,0,0,0,0,0,1,0,0,0,0
attenuation,0,0,0,0,0,1,0,1,0,0
attest,0,0,0,0,0,0,1,0,0,1
attestation,0,0,0,0,0,0,0,0,0,1
attorney,1,0,0,1,0,0,1,0,0,1
attraction,0,0,0,0,0,0,1,0,0,0
attractiveness,0,0,0,0,0,0,1,0,0,0
auction,0,1,0,0,0,0,0,0,0,0
audacity,0,0,0,0,0,1,0,0,0,0
audience,0,1,0,0,0,0,0,0,0,0
auditor,0,0,0,1,0,0,0,0,0,1
augment,0,0,0,0,0,0,1,0,0,0
august,0,0,0,0,0,0,1,0,0,0
aunt,0,0,0,0,0,0,1,0,0,1
aura,0,0,0,0,0,0,1,0,0,0
auspicious,0,1,0,0,1,0,1,0,0,0
austere,0,0,0,1,0,1,0,1,0,0
austerity,0,0,0,0,0,1,0,0,0,0
authentic,0,0,0,0,1,0,1,0,0,1
authenticate,0,0,0,0,0,0,0,0,0,1
authentication,0,0,0,0,0,0,0,0,0,1
authenticity,0,0,0,0,0,0,1,0,0,1
author,0,0,0,0,0,0,1,0,0,1
authoritative,0,0,0,0,0,0,1,0,0,1
authority,0,0,0,0,0,0,1,0,0,1
authorization,0,0,0,0,0,0,1,0,0,1
authorize,0,0,0,0,0,0,0,0,0,1
authorized,0,0,0,0,0,0,1,0,0,0
autocratic,0,0,0,0,0,1,0,0,0,0
automatic,0,0,0,0,0,0,0,0,0,1
autopsy,0,0,1,1,0,1,0,1,0,0
avalanche,0,0,0,1,0,1,0,1,1,0
avarice,1,0,1,0,0,1,0,0,0,0
avatar,0,0,0,0,0,0,1,0,0,0
avenger,1,0,0,0,0,1,0,0,0,0
averse,1,0,1,1,0,1,0,0,0,0
aversion,1,0,1,1,0,1,0,0,0,0
avoid,0,0,0,1,0,1,0,0,0,0
avoidance,0,0,0,1,0,1,0,0,0,0
avoiding,0,0,0,1,0,0,0,0,0,0
await,0,1,0,0,0,0,0,0,0,0
award,0,1,0,0,1,0,1,0,1,1
awful,1,0,1,1,0,1,0,1,0,0
awkwardness,0,0,1,0,0,1,0,0,0,0
awry,0,0,0,0,0,1,0,0,0,0
axiom,0,0,0,0,0,0,0,0,0,1
axiomatic,0,0,0,0,0,0,0,0,0,1
ay,0,0,0,0,0,0,1,0,0,0
aye,0,0,0,0,0,0,1,0,0,0
babble,0,0,0,0,0,1,0,0,0,0
babbling,0,0,0,0,0,1,0,0,0,0
baboon,0,0,1,0,0,1,0,0,0,0
baby,0,0,0,0,1,0,1,0,0,0
babysitter,0,0,0,0,0,0,0,0,0,1
baccalaureate,0,0,0,0,0,0,1,0,0,0
backbone,1,0,0,0,0,0,1,0,0,1
backer,0,0,0,0,0,0,0,0,0,1
backward,0,0,0,0,0,1,0,0,0,0
backwards,0,0,1,0,0,1,0,0,0,0
backwater,0,0,0,0,0,1,0,1,0,0
bacteria,0,0,1,1,0,1,0,1,0,0
bacterium,0,0,1,1,0,1,0,0,0,0
bad,1,0,1,1,0,1,0,1,0,0
badge,0,0,0,0,0,0,0,0,0,1
badger,1,0,0,0,0,1,0,0,0,0
badly,0,0,0,0,0,1,0,1,0,0
badness,1,0,1,1,0,1,0,0,0,0
bailiff,0,0,0,1,0,1,0,0,0,1
bait,0,0,0,1,0,1,0,0,0,1
balance,0,0,0,0,0,0,1,0,0,0
balanced,0,0,0,0,0,0,1,0,0,0
bale,0,0,0,1,0,1,0,0,0,0
balk,0,0,0,0,0,1,0,0,0,0
ballad,0,0,0,0,0,0,1,0,0,0
ballet,0,0,0,0,0,0,1,0,0,0
ballot,0,1,0,0,0,0,1,0,0,1
balm,0,1,0,0,1,1,1,0,0,0
balsam,0,0,0,0,0,0,1,0,0,0
ban,0,0,0,0,0,1,0,0,0,0
bandit,0,0,0,0,0,1,0,0,0,0
bane,1,0,1,1,0,1,0,0,0,0
bang,1,0,1,1,0,1,0,1,1,0
banger,1,1,0,1,0,1,0,0,1,0
banish,1,0,1,1,0,1,0,1,0,0
banished,1,0,0,1,0,1,0,1,0,0
banishment,1,0,1,0,0,1,0,1,0,0
bank,0,0,0,0,0,0,0,0,0,1
banker,0,0,0,0,0,0,0,0,0,1
bankrupt,0,0,0,1,0,1,0,1,0,0
bankruptcy,1,0,1,1,0,1,0,1,0,0
banquet,0,1,0,0,1,0,1,0,0,0
banshee,1,0,1,1,0,1,0,1,0,0
baptism,0,0,0,0,0,0,1,0,0,0
baptismal,0,0,0,0,1,0,1,0,0,0
barb,1,0,0,0,0,1,0,0,0,0
barbarian,0,0,0,1,0,1,0,0,0,0
barbaric,1,0,1,1,0,1,0,0,0,0
barbarism,0,0,0,0,0,1,0,0,0,0
bard,0,0,0,0,0,0,1,0,0,0
barf,0,0,1,0,0,0,0,0,0,0
bargain,0,0,0,0,0,0,1,0,0,1
bark,1,0,0,0,0,1,0,0,0,0
barred,0,0,0,0,0,1,0,0,0,0
barren,0,0,0,0,0,1,0,1,0,0
barricade,0,0,0,1,0,1,0,0,0,0
barrier,1,0,0,0,0,1,0,0,0,0
barrow,0,0,1,0,0,0,0,0,0,0
bartender,0,0,0,0,0,0,0,0,0,1
barter,0,0,0,0,0,0,0,0,0,1
base,0,0,0,0,0,0,0,0,0,1
baseless,0,0,0,0,0,1,0,0,0,0
basketball,0,1,0,0,1,0,1,0,0,0
bastard,0,0,1,0,0,1,0,1,0,0
bastion,1,0,0,0,0,0,1,0,0,0
bath,0,0,0,0,0,0,1,0,0,0
battalion,1,0,0,0,0,0,0,0,0,0
batter,1,0,0,1,0,1,0,0,0,0
battered,0,0,0,1,0,1,0,1,0,0
battery,1,0,0,0,0,1,0,0,0,0
battle,1,0,0,0,0,1,0,0,0,0
battled,1,0,0,1,0,1,0,1,0,0
battlefield,0,0,0,1,0,1,0,0,0,0
bawdy,0,0,0,0,0,1,0,0,0,0
bayonet,1,0,0,1,0,1,0,0,0,0
beach,0,0,0,0,1,0,0,0,0,0
beam,0,0,0,0,1,0,1,0,0,0
beaming,0,1,0,0,1,0,1,0,0,0
bear,1,0,0,1,0,0,0,0,0,0
bearer,0,0,0,0,0,1,0,0,0,0
bearish,1,0,0,1,0,0,0,0,0,0
beast,1,0,0,1,0,1,0,0,0,0
beastly,0,0,1,1,0,1,0,0,0,0
beating,1,0,0,1,0,1,0,1,0,0
beautification,0,0,0,0,1,0,1,0,0,1
beautiful,0,0,0,0,1,0,1,0,0,0
beautify,0,0,0,0,1,0,1,0,0,0
beauty,0,0,0,0,1,0,1,0,0,0
bedrock,0,0,0,0,0,0,1,0,0,1
bee,1,0,0,1,0,0,0,0,0,0
beer,0,0,0,0,1,0,1,0,0,0
befall,0,0,0,0,0,1,0,0,0,0
befitting,0,0,0,0,0,0,1,0,0,0
befriend,0,0,0,0,1,0,1,0,0,1
beg,0,0,0,0,0,1,0,1,0,0
beggar,0,0,0,0,0,1,0,1,0,0
begging,0,0,0,0,0,1,0,0,0,0
begun,0,1,0,0,0,0,0,0,0,0
behemoth,0,0,0,1,0,1,0,0,0,0
beholden,0,0,0,0,0,1,0,0,0,0
belated,0,0,0,0,0,1,0,0,0,0
believed,0,0,0,0,0,0,0,0,0,1
believer,0,0,0,0,0,0,0,0,0,1
believing,0,0,0,0,0,0,1,0,0,1
belittle,1,0,1,1,0,1,0,1,0,0
belligerent,1,0,0,1,0,1,0,0,0,0
bellows,1,0,0,0,0,0,0,0,0,0
belt,1,0,0,1,0,1,0,0,0,0
bender,0,0,0,0,0,1,0,0,0,0
benefactor,0,0,0,0,0,0,1,0,0,1
beneficial,0,0,0,0,0,0,1,0,0,0
